my_id,title,"conf_short","conf_type","conf_url","date","highlighted","location","notes","slides","title_short","type","venue","abstract"
"2603_pef_regPolyhedra","Are your polyhedra the same as my polyhedra?","mesecMatPEF","Local",,"2026-03-12","No","ljubljanaSI",,"Yes","regPolyhedra","Invited speaker","pefUL","SLO: Ali veste, kaj je pravilni polieder? Ste ga kdaj opazili na pločniku? Veste, koliko jih sploh obstaja? Na predavanju bo predavatelj povedal zgodbo, ki se začne v stari Grčiji in se razteza vse do trenutnega stoletja. Ta zgodba se vrti okoli zgornjih vprašanj in o tem, kako so se odgovori nanja skozi različna zgodovinska obdobja spreminjali.ENG: Do you know what a regular polyhedron is? Have you ever seen one on the sidewalk? Do you know how many of them there are? In the talk, I will tell you a story, a story that starts in ancient Greece and goes all the way to this century. This story goes around the questions above and how they have had different answers across different periods of time."
"2510_dmfa_regPolyhedra","Are your polyhedra the same as my polyhedra?","dmfa25","Local","https://www.dmfa.si/ODrustvu/NovicaPrikaz.aspx?itemid=918","2025-10-30","No","kranjSI",,"Yes","regPolyhedra","Invited speaker","mestnaKnjg","SLO: Ali veste, kaj je pravilni polieder? Ste ga kdaj opazili na pločniku? Veste, koliko jih sploh obstaja? Na predavanju bo predavatelj povedal zgodbo, ki se začne v stari Grčiji in se razteza vse do trenutnega stoletja. Ta zgodba se vrti okoli zgornjih vprašanj in o tem, kako so se odgovori nanja skozi različna zgodovinska obdobja spreminjali.ENG: Do you know what a regular polyhedron is? Have you ever seen one on the sidewalk? Do you know how many of them there are? In the talk, I will tell you a story, a story that starts in ancient Greece and goes all the way to this century. This story goes around the questions above and how they have had different answers across different periods of time."
2506_gems_symVoltOps,Symmetries of voltage operations on maniplexes and polytopes,gems25,International,https://gems2025.savbb.sk/,2025-06-26,Yes,"trencianskeTepliceSK",,Yes,symVoltOps,Contributed,hotelSlovakia,"A classical result in the theory of maps on surfaces states that the medial of a regular map has two orbits on flags (e.g., it has two types of faces). If the original map is self-dual, however, its medial is regular — it admits symmetry that is somewhat unexpected. This prompts a natural analogue for truncation: what is the symmetry-type of the truncation of a given (say, regular) map? What conditions on the original map guarantee or forbid the emergence of unexpected symmetries for its truncation? Although the answer is known, it is less intuitive than in the medial case. In joint work with Hubard and Mochán, we introduced the notion of voltage operations, which generalise many classical operations on maps and polyhedra to the broader setting of maniplexes and abstract polytopes. In this talk, I will revisit voltage operations and present some results and ideas concerning the central question: when does an operation yield a result with unexpected symmetry? "
2402_sodo_smallMovement,Vertex trantisive graph with (very) small movement,sodo24,International,https://jschillewaert.wixsite.com/sodo2024,2024-02-13,Yes,"aucklandNZ",,Yes,smallMovement,Contributed,uAuck,The motion of a graph is defined as the smallest number of vertices that are not fixed by a non-trivial automorphism. In the talk we will show a classification of the vertex transitive graphs whose motion is a prime number or a (very)small integer. We shall also explore how this problem connects with some classical permutation groups and graph theory problems.
2311_mathFisMat_regPolyhedra,No me amenaces... no me amenaces (con que ya son todos),mathFisMat,Seminar,,2023-11-12,No,"moreliaMX",,Yes,regPolyhedra,By invitation,"fismatUMSNH","Existen exactamente 5 poliedros regulares: los Sólidos Platónicos. Para muchos de nosotros éste es uno de los teoremas que más pronto aprendimos en nuestra formación y, con un poco de suerte, hasta lo demostramos. Es más, este teorema constituye el clímax del último libro de Los Elementos de Euclides... pero... ¿Sí?... En la platica vamos a analizar un poquito este famoso teorema y sobre todo, platicaremos algo de historia al respecto."
2306_sicgt_cayleyExtensions,Cayley extensions of maniplexes and polytopes,sicgt23,International,https://sicgt.si/,2023-06-20,No,"kranjskaGoraSI",,Yes,cayleyExtensions,Contributed,"hotelKompas",A map on a surface whose automorphism group has a subgroup acting regularly on its vertices is called a Cayley map. Cayley extensions are a generalisation of that notion to maniplexes and polytopes. We define M to be a Cayley extension of K if the facets of M are isomorphic to K and if some subgroup of the automorphism group of M acts regularly on the facets of M. We will show that many natural extensions in the literature on maniplexes and polytopes are in fact Cayley extensions. We will also describe several universal Cayley extensions and examine the possibilities for their symmetry type graph.
2211_seminarFamnit_voltageOperations,"Voltage operations on maniplexes, maps and polytopes",seminarFamnit,Seminar,,2022-11-14,No,"koperSI",,Yes,voltageOperations,By invitation,"famnitUP","Geometrical operations such as truncation, duality, Petrie-duality, among others, arise naturally in the study of highly symmetric convex polyhedra. Often these operations do not generalise in an obvious way to combinatorial objects (such as abstract polytopes). In the talk we shall present a way to deal with many of these operations in a graph-theoretical setting using maniplexes, which are combinatorial generalisation of maps on surfaces and convex polytopes. We shall see how we could potentially use these operations to build maniplexes (or abstract polytopes) with prescribed symmetry type."
2211_dmFMF_voltageOperations,"Voltage operations on maniplexes, maps and polytopes",dmFMF,Seminar,,2022-11-15,No,"ljubljanaSI",,No,voltageOperations,By invitation,"fmfUL","Geometrical operations such as truncation, duality, Petrie-duality, among others, arise naturally in the study of highly symmetric convex polyhedra. Often these operations do not generalise in an obvious way to combinatorial objects (such as abstract polytopes). In the talk we shall present a way to deal with many of these operations in a graph-theoretical setting using maniplexes, which are combinatorial generalisation of maps on surfaces and convex polytopes. We shall see how we could potentially use these operations to build maniplexes (or abstract polytopes) with prescribed symmetry type.ˀ"
2204_coloquioIM_extensions,Extensiones de politopos áltamente simétricos (Extensions of highly symmetric polytopes),coloquioIM,Local,https://www.matem.unam.mx/actividades/coloquio/cu/actividades/extensiones-de-politopos-altamente-simetricos,2022-04-05,No,"mexicoMX",,Yes,extensions,By invitation,imUNAM,"Un cubo puede ser pensado como una familia de cuadrados pegados por sus aristas. De manera similar, la teselación de cubos del espacio puede ser pensada como una familia de cubos pegados por sus caras cuadradas. Esta idea recursiva de construcción se puede entender no solo en el contexto de objetos geométricos como poliedros o teselaciones sino también en un contexto puramente combinatorio: el de los politopos abstractos. En la charla exploraremos una serie de problemas ligados a la pregunta: dado un politopo K de rango (dimensión) n, ¿Existe un politopo P de rango n+1 tal que todas las caras de rango n de P son isomorfas a K? De particular interés será cuando ponemos condiciones preestablecidas de simetría sobre P."
2103_agtiw_extensions,Highly symmetric polytopes with prescribed local combinatorics,agtiw,Seminar,http://euler.doa.fmph.uniba.sk/AGTIW.html,2021-03-02,Yes,,,Yes,extensions,By invitation,online,"Convex polyhedra and tilings of the Euclidean of hyperbolic plane can be thought as a family of polygons glued together along their edges. This idea extends to higher dimensions: a 4-dimensional cube can be thought as family of 3-dimensional cubes glued together along its 2-dimensional faces. This way of thinking polytopes gives rise to some natural questions: given a n-dimensional polytope K, can we build a (n+1)-dimensional polytope P such that all the facets (maximal proper faces of P) are isomorphic to K? how many of such P can we build? Usually the geometry plays an important role on those questions.In the talk we will explore variants of this question in the context of abstract polytopes, where the geometry is less relevant. In particular, we are interested in the situation where prescribed symmetry conditions are imposed on P."
