title	highlighted	title_short	type	conference	conf_short	conf_type	conf_url	venue	date	location	slides	abstract	notes
Una forma 'barata' de garantizar triángulos en una gráfica (A 'cheap' way of guarantee triangles in a graph)		trianglesProb	Contributed talk	"26th Colloquium ""Victor Neumann-Lara"" of graph theory, combinatorics and its applications"	vnl2011	National		Universidad Autónoma del Estado de Hidalgo	06.03.11	Pachuca, Hgo. Mexico	yes		
Permutaciones: ¿Funciones biyectivas o simples revolturas? (Permutations: bijections or just jumbles?)		permutations	Contributed talk	44th National Conference of the Mexican Mathematical Society	smm2011	National		Universidad Autónoma de San Luis Potosí	12.10.11	San Luis Potosí, SLP. Mexico	yes	Dado un conjunto $A$ con $n$ elementos, las permutaciones de los elementos de dicho conjunto tienen dos grandes formas de estudio: Una de ellas es como objetos de carácter combinatorio, muy útiles para resolver variados problemas de conteo relacionados con la idea de revolver los elementos de $A$. Otra forma de pensar las permutaciones son como funciones biyectivas de $A$ en sí mismo, lo cual nos lleva a trabajar las permutaciones como objetos algebraicos, de manera más específica, como elementos del grupo $S_n$ lo que nos permite utilizar la fortaleza del álgebra en la solución de problemas. En la plática plantearemos problemas que, en principio, son de naturaleza combinatoria y no involucran la estructura algebraica de las permutaciones; sin embargo, usaremos las ventajas de ver las permutaciones como objetos algebraicos para obtener soluciones a tales problemas.	
Coloración en gráficas infinitas  (Colorings of infinite graphs)		coloringsInfinite	Contributed talk	Discrete math seminar FisMat UMSNH	dmFisMat	Seminar		Faculty of Physics and Mathematics, UMSNH	15.05.12	Morelia, Mich. Mexico	yes		
Poliedros regulares en pantalla de videojuegos (Regular polyhedra on a video games screen)		regPolyhedra3Torus	Contributed talk	Discrete math seminar FisMat UMSNH	dmFisMat	Seminar		Faculty of Physics and Mathematics, UMSNH	10.11.12	Morelia, Mich. Mexico	yes		
Poliedros regulares en el $3$-toro (Regular polyhedra in the $3$-torus)		regPolyhedra3Torus	Contributed talk	"28th Colloquium ""Victor Neumann-Lara"" of graph theory, combinatorics and its applications"	vnl2013	National		Palacio Clavijero, Morelia	05.03.13	Morelia, Mich. Mexico	yes		
Poliedros regulares en el $3$-toro (Regular polyhedra in the $3$-torus)		regPolyhedra3Torus	Contributed talk	46th National Conference of the Mexican Mathematical Society	smm2013	National		Universidad Autónoma de Yucatán	28.10.13	Mérida, Yuc. Mexico	yes	En los 70's Grünbaum publicó una lista de 47 poliedros regulares que compartían algunas propiedades de simetría con los sólidos platónicos. En los 80's Dress encontró un poliedro más y probó que la lista de 48 poliedros regulares en el espacio euclidiano $\mathbb{E}^3$ es completa.  En 1982 Danzer y Schulte introdujeron el concepto de politopo abstracto, concepto que generaliza a los polígonos y poliedros geométricos, rescatando su estructura combinatoria. En los 90's McMullen y Schulte prueban, partiendo de este concepto, que las lista de Grünbaum y Dress es completa.  Una vez resuelto el problema en el espacio euclidiano es natural preguntarse qué pasa en otros espacios. En la platica abordaremos el problema para el 3-toro $\mathbb{T}^{3}_{\Lambda}:= \mathbb{E}^{3}/\Lambda$ donde $\Lambda$ es un grupo generado por 3 traslaciones linealmente independientes.	
Poliedros regulares ¿Aún siguen de moda?  (Regular polyhedra, are they still trendy?)		regPolyhedra	Contributed talk	Graduate students seminar CCM	becariosCCM	Seminar		Centro de Ciencias Matemáticas, UNAM Morelia	08.11.13	Morelia, Mich. Mexico	no		
Poliedros regulares en el $3$-toro (Regular polyhedra in the $3$-torus)		regPolyhedra3Torus	Talk by invitation	Graduate students seminar IM UNAM	becariosIM	Seminar		Institute of Mathematics UNAM	01.04.14	Mexico City, Mexico	no		
Regular polyhedra in the $3$-torus	yes	regPolyhedra3Torus	Contributed talk	5th Workshop Symmetries in Graphs Maps and Polytopes (SIGMAP)	sigmap2014	International	http://mcs.open.ac.uk/SIGMAP/	ELIM Conference Centre	07.07.14	West Malvern, U.K.	yes	Since Grünbaum's paper about regular polyhedra in ordinary $3$-space in the 70's, there has been a lot of work towards a classification symmetric polyhedra-like structures in several spaces. Coxeter, Schulte, McMullen and many other authors have studied symmetric tessellations of the $n$-dimensional torus. J. Bracho, in joint work with other authors found the regular polyhedra with planar faces in the projective space; a couple of years after, McMullen completed the list of regular projective polyhedra. In this talk we'll discuss the problem of classifying regular polyhedra in the $3$-dimensional torus.	
Simetrías: un paseo por la geometría, los mosaicos y los grupos (Symmetries: a walk through geometry, tilings and groups)		mosaicos	Contributed talk	Degustaciones Matemáticas 2015	degustaciones2015	Local		Faculty of Physics and Mathematics, UMSNH	14.02.15	Morelia, Mich. Mexico	yes		
Politopos abstractos y algunos de sus grupos (Abstract polytopes and some of their groups)		coversPolyhedra	Contributed talk	Graduate students seminar CCM	becariosCCM	Seminar		Centro de Ciencias Matemáticas, UNAM Morelia	18.08.15	Morelia, Mich. Mexico	no		
Teselaciones simétricas del toro $n$-dimensional (Symmetric tessellations of the $n$-dimensional torus)		toroids	Contributed talk	Aquelarre Matemático 2015	aquelarre15	Local		Faculty of Sciences, UNAM	16.10.15	Mexico City, Mexico	yes		
Equivelar toroids with few flag-orbits		toroids	Contributed talk	Conference Symmetries and Covers of Discrete Objects	scdo2016	International	https://www.math.auckland.ac.nz/~dleemans/SCDO2016/	Rydges Lakeland Resort	16.02.16	Queenstown, New Zealand	yes	An $(n+1)$-toroid is a quotient of a tessellation of the $n$-dimensional euclidean space with a lattice group. Toroids are generalizations of maps in the torus on higher dimensions and also provide examples of abstract polytopes. Equivelar maps in the $2$-torus ($3$-toroids) where classified by Brehem and Kühnel in 2008. In 2012 Hubard, Orbanić, Pellicer and Weiss classified equivelar $4$-toroids. However, a complete classification for any dimension seems to be a very hard problem. In the talk we will present a classification of equivelar $(n+1)$-toroids with less than $n$ flag-orbits; in particular, we will discuss a classification of $2$-orbit toroids of arbitrary dimension.	
Toros cuadriculados y sus simetrías (Squared tori and their symmetries)	yes	toroids	Invited speaker	16th Summer school in mathematics CCM - UNAM	esver2016	National		Centro de Ciencias Matemáticas, UNAM Morelia	29.06.16	Morelia, Mich. Mexico	yes		
Extensiones de politopos abstractos altamente simétricos   (Chiral extensions of highly symmetric polytopes)		extensions	Contributed talk	2nd national meeting of graduate students of mathematics	enaeposmat2016	National	https://www.matcuer.unam.mx/eeposmat/2016/index.html	Unidad Cuernavaca del Instituto de Matemáticas, UNAM	18.08.16	Cuernavaca, Mor. Mexico	yes	La palabra politopo es el término genérico de la sucesión punto, segmento, polígono, poliedro... Los politopos abstractos son generalizaciones combinatorias de los politopos convexos. Un problema clásico en la teoría de politopos convexos es el siguiente: dado un politopo $d$-dimensional $K$ ¿existe un politopo $(d + 1)$-dimensional $P$ tal que todas las caras $d$-dimensionales de $P$ son isomorfas a $K$? En la plática mostraremos la situación de este problema en el contexto de politopos abstractos cuando imponemos algunas restricciones de simetría en $K$ y en $P$.	
Toros envolviendo esferas y otras aberraciones similares (Tori wrapping spheres and other similar aberrations)		coversPolyhedra	Contributed talk	Aquelarre Matemático 2016	aquelarre16	Local		Faculty of Sciences, UNAM	11.10.16	Mexico City, Mexico	yes		
Cubos generalizados y extensiones de politopos abstractos (Generalised cubes and extensions of abstract polytopes)		twoToK	Contributed talk	49th National Conference of the Mexican Mathematical Society	smm2017	National	https://www.smm.org.mx/congreso/2016	Universidad Autónoma de Aguascalientes	25.10.16	Aguascalientes, Ags. Mexico	yes	"La palabra ""politopo"" es el término genérico para los polígonos, poliedros, etc. Los politopos abstractos generalizan de manera combinatoria a los politopos clásicos. El problema de extensión en politopos convexos consiste en determinar cuúndo un politopo de dimensión $d$ se puede usar para construir un politopo de dimensión $d+1$. Este problema tiene sentido en el contexto de los politopos abstractos. En la plática veremos la importancia de este problema y ofreceremos una posible solución que generaliza una construcción clásica de los cubos."	
Cubic toroids with few flag-orbits		toroids	Talk by invitation	Seminar of Combinatorics and Group Theory, UL-Pef	cgtPeF	Seminar		Faculty of Education, University of Ljubljana	15.02.17	Ljubljana, Slovenia	yes		
Cubos de colores y otras cosas similares (Coloured cubes and some other similar objects)	yes	twoToK	Invited speaker	2nd Summer school of symmetries of combinatorial structures	esvec2017	National	https://matmor.unam.mx/simetrias2017/	Unidad Cuernavaca del Instituto de Matemáticas, UNAM	26.07.17	Cuernavaca, Mor. Mexico	yes		
Chiral extensions of chiral polytopes		chiralExtensions	Talk by invitation	3rd Conference of the Pacific Rim Mathematical Association	prima2017	International	https://primamath.org/congress/prima-2017	Instituto tecnológico de Oaxaca	14.08.17	Oaxaca, Oax. Mexico	yes	Abstract polytopes are objects that generalize convex polytopes on a combinatorial way. An elementary problem in convex polytopes is, given an n-polytope K, is there an (n + 1)-polytope P such that all the facets of P are isomorphic to K? When this problem is presented in the context of abstract polytopes it becomes interesting when symmetry conditions are imposed over P (and hence, over K). In the talk we will explain the problem with detail when both P and K are chiral polytopes. In particular we will give some results regarding the possibilities for the Schläfli type of P and some examples for small values of n.	
Simetrías de toros cuadriculados (Symmetries of squared tori)		toroids	Talk by invitation	Graduate students seminar CIMAT	becariosCimat	Seminar		Centro de Investigaciones Matemáticas (CIMAT)	10.11.17	Guanajuato, Gto. Mexico	yes		
